Name,Type,mag,Const,_RAJ2000,_DEJ2000
I5370,Gx,15.0,And,0.0253,32.7500
I5371,,,And,0.0503,32.8166
7801,-,,Cas,0.1004,50.6999
I5372,Gx,15.0,And,0.1003,32.7833
I5373,Gx,15.0,And,0.1003,32.7833
7802,Gx,14.0,Psc,0.2753,6.2167
I5374,,,Psc,0.2753,4.5000
I5375,Gx,14.0,Psc,0.2753,4.5167
7804,,,Psc,0.3253,7.7500
7803,Gx,14.0,Peg,0.3503,13.1000
7805,Gx,14.0,Peg,0.3503,31.4333
I5376,Gx,15.0,And,0.3503,34.5333
7806,Gx,14.0,Peg,0.3753,31.4500
I1526,Gx,15.0,Peg,0.4003,11.3500
I5377,Gx,16.0,Peg,0.5253,16.6000
7809,Gx,15.0,Psc,0.5503,2.9333
7810,Gx,14.0,Peg,0.6003,12.9500
I1527,,,Psc,0.6003,4.1167
7811,Gx,15.0,Psc,0.6253,3.3333
I5378,,,Peg,0.6503,16.6166
I5379,,,Peg,0.6753,16.5833
I5380,,,Tuc,0.6754,-66.1832
7812,Gx,,Scl,0.7253,-34.2499
7813,Gx,15.0,Cet,0.8003,-11.9833
I5381,Gx,,Peg,0.8003,15.9666
7814,Gx,10.5,Peg,0.8253,16.1500
7815,-,,Peg,0.8503,20.6833
I5382,,,Tuc,0.8504,-65.1832
7808,Gx,14.0,Cet,0.8753,-10.7500
7822,Nb,,Cep,0.9004,68.6166
7816,Gx,14.0,Psc,0.9503,7.4667
I5383,,,Peg,0.9503,16.0000
7817,Gx,12.0,Peg,1.0003,20.7500
7818,Gx,15.0,Psc,1.0503,7.3500
I5384,Gx,15.0,Cet,1.0503,-11.9666
7819,Gx,14.0,Peg,1.1003,31.4833
7820,Gx,14.0,Psc,1.1503,5.1833
7823,Gx,,Tuc,1.2004,-62.0666
I1528,,,Psc,1.2753,-3.1167
7824,Gx,14.0,Psc,1.3003,6.9000
7825,Gx,15.0,Psc,1.3003,5.2000
7826,-,,Cet,1.3003,-20.7333
I1529,,,Cet,1.3003,-11.5000
7821,Gx,14.0,Cet,1.3253,-16.4833
7827,Gx,14.0,Psc,1.3753,5.2167
7830,*,,Psc,1.5503,8.3667
7828,Gx,,Cet,1.6003,-13.4000
7829,Gx,,Cet,1.6003,-13.4000
I5385,,,Psc,1.6003,-0.0667
7833,-,,Peg,1.6253,27.6333
I5386,,,Psc,1.6253,-3.7167
7832,Gx,13.0,Psc,1.6503,-3.7000
7834,Gx,15.0,Psc,1.6753,8.3500
7835,Gx,15.0,Psc,1.7003,8.4167
7837,Gx,16.0,Psc,1.7253,8.3333
7838,Gx,15.0,Psc,1.7503,8.3333
7839,D*,,Peg,1.7503,27.6333
7840,Gx,,Psc,1.7753,8.5500
1,Gx,13.0,Peg,1.8253,27.7166
2,Gx,15.0,Peg,1.8253,27.6833
3,Gx,14.0,Psc,1.8253,8.2833
7831,Gx,14.0,And,1.8253,32.5833
I1530,Gx,,And,1.8253,32.6166
4,Gx,,Psc,1.8503,8.3667
5,Gx,14.0,And,1.9503,35.3500
7836,Gx,,And,2.0003,33.0666
6,-,,And,2.0753,32.5000
7,Gx,,Scl,2.1003,-29.9166
I   1,D*,,Peg,2.1003,27.7166
10,Gx,,Scl,2.1503,-33.8666
11,Gx,14.0,And,2.1753,37.4333
12,Gx,15.0,Psc,2.1753,4.6167
8,D*,,Peg,2.2003,23.8333
13,Gx,14.0,And,2.2003,33.4333
14,Gx,12.0,Peg,2.2003,15.8166
9,Gx,15.0,Peg,2.2253,23.8166
15,Gx,15.0,Peg,2.2753,21.6000
16,Gx,12.0,Peg,2.2753,27.7333
18,D*,,Peg,2.3503,27.7166
19,-,,And,2.3503,32.8333
20,Gx,15.0,And,2.3753,33.3166
I1531,Gx,,Scl,2.4003,-32.2833
22,Gx,15.0,Peg,2.4503,27.8333
23,Gx,12.0,Peg,2.4753,25.9166
24,Gx,11.5,Scl,2.4753,-24.9666
25,Gx,,Phe,2.4754,-57.0499
I1532,Gx,,Tuc,2.4754,-64.3666
28,Gx,,Phe,2.5754,-57.0166
26,Gx,14.0,Peg,2.6003,25.8333
27,Gx,14.0,And,2.6253,29.0000
31,Gx,,Phe,2.6254,-56.9999
I1533,,,Cet,2.6503,-7.4166
21,Gx,14.0,And,2.6753,32.9833
29,Gx,14.0,And,2.7003,33.3500
30,D*,,Peg,2.7003,21.9500
32,Ast,,Peg,2.7253,18.7833
33,D*,,Psc,2.7253,3.6667
17,,,Cet,2.7503,-12.1000
I   2,Gx,,Cet,2.7503,-12.8166
34,Gx,13.0,Cet,2.7753,-12.1000
35,Gx,14.0,Cet,2.8003,-12.0000
37,Gx,,Phe,2.8254,-56.9666
36,Gx,15.0,Psc,2.8503,6.3833
38,Gx,13.0,Psc,2.9753,-5.6000
I   3,Gx,,Psc,3.0253,-0.4167
39,Gx,14.0,And,3.0753,31.0500
41,Gx,14.0,Peg,3.2003,22.0333
42,Gx,15.0,Peg,3.2253,22.1000
40,Pl,11.0,Cep,3.2504,72.5332
43,Gx,14.0,And,3.2503,30.9000
44,-,,And,3.2753,31.2833
I   4,Gx,,Peg,3.3503,17.4833
I1534,,,And,3.4503,48.1499
48,Gx,15.0,And,3.5003,48.2333
I1535,,,And,3.5003,48.1499
45,Gx,10.4,Cet,3.5253,-23.1833
46,*,,Psc,3.5253,5.9833
I1536,Gx,15.0,And,3.5503,48.1333
49,Gx,15.0,And,3.5753,48.2333
47,Gx,13.0,Cet,3.6253,-7.1833
58,,,Cet,3.6253,-7.1666
51,Gx,15.0,And,3.6503,48.2499
52,Gx,14.0,Peg,3.6503,18.5500
50,Gx,,Cet,3.6753,-7.3333
53,Gx,,Tuc,3.6754,-60.3332
55,Gx,8.0,Scl,3.7253,-39.1833
54,Gx,14.0,Cet,3.7753,-7.1333
56,-,,Psc,3.8503,12.4333
57,Gx,13.0,Psc,3.8503,17.3000
59,Gx,13.0,Cet,3.8753,-21.4500
60,Gx,15.0,Psc,4.0003,-0.3000
I1537,,,Phe,4.0003,-39.3166
61,Gx,15.0,Psc,4.1253,-6.2333
62,Gx,14.0,Cet,4.2753,-13.4666
I   5,Gx,14.0,Cet,4.3503,-9.5500
64,Gx,14.0,Cet,4.3753,-6.8500
63,Gx,13.0,Psc,4.4253,11.4500
I1538,?,,And,4.5003,30.0666
67,Gx,16.0,And,4.5503,30.0666
68,Gx,13.0,And,4.5753,30.0666
69,Gx,14.8,And,4.5753,30.0333
70,Gx,15.0,And,4.6003,30.0833
71,Gx,13.0,And,4.6003,30.0666
I1539,,,And,4.6003,30.1000
72,Gx,13.4,And,4.6253,30.0333
73,Gx,13.0,Cet,4.7003,-15.3500
74,Gx,16.0,And,4.7253,30.0500
I   6,Gx,14.0,Psc,4.7503,-3.2667
65,Gx,15.0,Cet,4.7753,-22.9000
I   7,,,Psc,4.7753,10.5500
I   8,Gx,15.0,Psc,4.7753,-3.2167
66,Gx,14.0,Cet,4.8003,-22.9500
75,Gx,15.0,Psc,4.8753,6.4167
76,Gx,14.0,And,4.9003,29.9333
I   9,Gx,15.0,Cet,4.9253,-14.1166
I1540,,,And,4.9503,23.7166
77,,,Cet,5.0003,-22.5166
I1541,Gx,15.0,And,5.0003,22.0166
I  12,Gx,16.0,Psc,5.0753,-2.6500
78,Gx,14.0,Psc,5.1003,0.8167
I  10,Gx,10.3,Cas,5.1003,59.2999
I  13,Gx,15.0,Psc,5.1003,7.7000
I  11,,,Cas,5.1253,56.5999
I1542,Gx,15.0,And,5.1503,22.6166
I1543,Gx,14.0,And,5.2253,21.8833
79,Gx,15.0,And,5.2503,22.5666
80,Gx,12.1,And,5.3003,22.3500
81,Gx,,And,5.3003,22.3666
87,Gx,,Phe,5.3003,-48.6333
88,Gx,,Phe,5.3253,-48.6499
89,Gx,,Phe,5.3253,-48.6833
I1544,,,And,5.3253,23.0333
I1545,,,And,5.3253,21.9833
82,Gx,14.0,And,5.3503,22.4333
83,Gx,12.6,And,5.3503,22.4333
85,Gx,15.0,And,5.3503,22.5000
84,Gx,17.0,And,5.3753,22.6000
86,Gx,15.0,And,5.3753,22.5500
92,Gx,,Phe,5.3753,-48.6333
I1546,,,And,5.3753,22.5000
I1547,?,,And,5.4003,22.5166
91,Gx,15.0,And,5.4503,22.4166
90,*,,And,5.4753,22.4166
I1548,Gx,16.0,And,5.4753,22.0166
93,Gx,14.0,And,5.5003,22.4166
94,Gx,15.0,And,5.5503,22.4666
95,Gx,12.6,Psc,5.5503,10.5000
96,Gx,17.0,And,5.5753,22.5500
97,Gx,13.0,And,5.6003,29.7333
I  14,,,Psc,5.6503,10.4833
98,Gx,,Phe,5.7003,-45.2666
I1549,,,Psc,5.8003,6.9833
101,Gx,13.0,Scl,5.9753,-32.5666
99,Gx,14.0,Psc,6.0003,15.7833
100,Gx,,Psc,6.0003,16.4833
104,Gb,4.0,Tuc,6.0254,-72.0832
102,Gx,14.0,Cet,6.1003,-13.9500
I1550,Gx,15.0,And,6.1003,38.1999
106,Gx,,Psc,6.1753,-5.1666
103,OC,9.8,Cas,6.3253,61.3499
105,Gx,13.2,Psc,6.3253,12.8833
107,Gx,,Cet,6.4003,-8.2833
108,Gx,13.0,And,6.4753,29.2166
109,Gx,15.0,And,6.5503,21.8166
111,-,,Cet,6.6753,-2.6333
112,Gx,14.0,And,6.6753,31.7166
115,Gx,,Scl,6.7003,-33.6833
121,Gb,10.6,Tuc,6.7004,-71.5332
113,Gx,13.0,Cet,6.7503,-2.5000
114,Gx,15.0,Cet,6.7753,-1.7833
119,Gx,,Phe,6.7753,-56.9832
116,Gx,14.0,Cet,6.8003,-7.7000
117,Gx,15.0,Cet,6.8003,1.3167
118,Gx,15.0,Cet,6.8253,-1.7833
110,OC,,Cas,6.8504,71.3832
120,Gx,15.0,Cet,6.8753,-1.5167
I1551,Gx,15.0,Psc,6.9003,8.8833
122,?,,Cet,6.9253,-1.6333
123,?,,Cet,6.9503,-1.6000
124,Gx,14.0,Cet,6.9753,-1.8167
I  16,Gx,15.0,Cet,6.9753,-13.0833
I  15,,,Cet,7.0003,-0.0667
I  17,Gx,15.0,Cet,7.1253,2.6500
I  20,Gx,14.0,Cet,7.1253,-13.0000
I  18,Gx,15.0,Cet,7.1503,-11.5666
I  19,Gx,15.0,Cet,7.1753,-11.6333
125,Gx,12.3,Psc,7.2003,2.8333
126,Gx,16.0,Psc,7.2753,2.8167
127,Gx,14.0,Psc,7.3003,2.8667
128,Gx,11.6,Psc,7.3003,2.8500
I  21,Gx,14.0,Cet,7.3003,-0.1667
130,Gx,14.3,Psc,7.3253,2.8667
131,Gx,,Scl,7.4003,-33.2666
I  22,Gx,15.0,Cet,7.4003,-9.0500
I1552,Gx,15.0,Psc,7.4003,21.4833
129,OC,6.5,Cas,7.4753,60.2333
132,Gx,14.0,Cet,7.5503,2.1000
134,Gx,10.1,Scl,7.6003,-33.2499
I  23,,,Cet,7.7253,-12.7333
138,Gx,15.0,Psc,7.7503,5.1667
139,Gx,15.0,Psc,7.7503,5.0833
137,Gx,14.0,Psc,7.7753,10.1833
133,OC,9.0,Cas,7.8003,63.3666
I  24,OC,,And,7.8003,30.8500
I  25,Gx,15.0,Cet,7.8003,-0.4000
140,Gx,14.0,And,7.8253,30.7833
142,Gx,14.0,Cet,7.8253,-22.6166
141,Gx,15.0,Psc,7.8503,5.1833
143,Gx,15.0,Cet,7.8503,-22.5666
144,Gx,14.0,Cet,7.8503,-22.6500
136,OC,,Cas,7.8753,61.5333
145,Gx,12.8,Cet,7.9253,-5.1500
135,,,Cet,7.9503,-13.3666
I  26,,,Cet,7.9503,-13.3333
I1553,Gx,14.0,Scl,8.1753,-25.5833
152,Gb,12.0,Tuc,8.2003,-73.1499
146,OC,9.1,Cas,8.2753,63.2999
I  27,,,Cet,8.2753,-13.3666
I  28,,,Cet,8.2753,-13.4500
I1554,Gx,,Scl,8.2753,-32.2666
147,Gx,9.3,Cas,8.3003,48.4999
149,Gx,15.0,And,8.4253,30.7166
151,Gx,11.5,Cet,8.5003,-9.7000
153,,,Cet,8.5003,-9.7000
154,Gx,14.0,Cet,8.5253,-12.6500
I  29,Gx,15.0,Cet,8.5503,-2.1833
148,Gx,12.1,Scl,8.5753,-31.7833
150,Gx,11.1,Scl,8.5753,-27.7999
I  30,Gx,15.0,Cet,8.5753,-2.0833
I  31,Gx,15.0,Psc,8.6003,12.2833
156,D*,,Cet,8.6503,-8.3500
159,Gx,,Phe,8.6503,-55.7833
I1555,Gx,,Scl,8.6503,-30.0166
155,Gx,13.0,Cet,8.6753,-10.7666
157,Gx,10.4,Cet,8.7003,-8.4000
158,D*?,,Cet,8.7253,-8.3166
I  32,Gx,15.0,Cet,8.7503,-2.1333
I  33,Gx,15.0,Cet,8.7753,-2.1333
I1556,?,,Cet,8.7753,-9.5666
167,Gx,13.0,Cet,8.8253,-23.3666
161,Gx,15.0,Cet,8.8753,-2.8333
I1557,Gx,16.0,Cet,8.8753,-2.8500
I  34,Gx,14.0,Psc,8.9003,9.1333
166,Gx,15.0,Cet,8.9503,-13.6166
176,OC,12.0,Tuc,8.9503,-73.1832
I1558,Gx,,Scl,8.9503,-25.3666
163,Gx,12.8,Cet,9.0003,-10.1166
160,Gx,12.4,And,9.0253,23.9500
162,Gx,,And,9.0253,23.9666
164,Gx,16.0,Psc,9.1253,2.7500
165,Gx,13.2,Cet,9.1253,-10.1000
168,Gx,14.0,Cet,9.1753,-22.6000
170,Gx,15.0,Cet,9.1753,1.8500
169,Gx,13.0,And,9.2253,23.9833
174,Gx,14.0,Scl,9.2253,-29.4833
I1559,Gx,,And,9.2253,23.9833
173,Gx,15.0,Cet,9.3003,1.9333
172,Gx,,Cet,9.3253,-22.6000
171,,,Cet,9.3503,-19.9333
175,Gx,12.1,Cet,9.3503,-19.9333
177,Gx,13.0,Cet,9.3753,-22.5666
I  35,Gx,15.0,Psc,9.4253,10.3500
I1560,,,Cet,9.4253,2.6667
179,Gx,14.0,Cet,9.4503,-17.8833
I  36,,,Cet,9.4503,-15.4333
180,Gx,14.0,Psc,9.5003,8.6333
181,Gx,15.0,And,9.5503,29.4666
182,Gx,12.6,Psc,9.5503,2.7333
183,Gx,14.0,And,9.5753,29.5000
184,Gx,15.0,And,9.6253,29.4333
186,Gx,15.0,Psc,9.6253,3.1500
I  37,Gx,15.0,Cet,9.6253,-15.3833
I1561,Gx,14.0,Cet,9.6253,-24.3333
I  38,Gx,14.0,Cet,9.6503,-15.4333
I1562,Gx,,Cet,9.6503,-24.2833
190,Gx,14.0,Psc,9.7253,7.0333
185,Gx,9.2,Cas,9.7503,48.3333
191,Gx,12.0,Cet,9.7503,-9.0000
I1563,Gx,,Cet,9.7503,-9.0166
178,Gx,12.6,Cet,9.7753,-14.1666
209,Gx,14.0,Cet,9.7753,-18.6333
I  39,,,Cet,9.7753,-14.1666
I1564,,,Psc,9.8003,5.9667
192,Gx,14.0,Cet,9.8253,0.8500
193,Gx,12.3,Psc,9.8253,3.3333
194,Gx,12.1,Psc,9.8253,3.0333
196,Gx,14.0,Cet,9.8253,0.9000
197,Gx,15.0,Cet,9.8503,0.8833
198,Gx,12.8,Psc,9.8503,2.8000
I1565,Gx,,Psc,9.8503,6.7167
I1566,Gx,15.0,Psc,9.8503,6.8000
I  40,Gx,15.0,Cet,9.8753,2.4333
187,Gx,13.0,Cet,9.9003,-14.6833
189,OC,8.8,Cas,9.9003,61.0666
195,Gx,,Cet,9.9003,-9.2000
199,Gx,15.0,Psc,9.9003,3.1167
200,Gx,14.0,Psc,9.9003,2.8833
I1567,,,Psc,9.9003,6.6167
201,Gx,15.0,Cet,9.9253,0.8500
202,Gx,15.0,Psc,9.9253,3.5167
203,Gx,15.0,Psc,9.9253,3.4333
I  41,,,Cet,9.9253,-14.1666
204,Gx,14.0,Psc,9.9503,3.2833
I1568,Gx,15.0,Psc,9.9753,6.8333
207,,,Cet,10.0003,-14.3000
212,Gx,,Phe,10.0253,-56.1666
205,Gx,8.0,And,10.1003,41.6833
208,Gx,15.0,Psc,10.1003,2.7333
I1569,Gx,15.0,Psc,10.1003,6.7000
220,OC,11.0,Tuc,10.1253,-73.3999
206,C+N,,And,10.1503,40.7333
210,Gx,10.9,Cet,10.1503,-13.8666
222,OC,11.0,Tuc,10.1503,-73.3999
I1570,,,Psc,10.1503,6.7500
I1571,Gx,15.0,Cet,10.1753,-0.3167
215,Gx,,Phe,10.2003,-56.2166
211,*,,Psc,10.2503,3.4333
231,OC,12.0,Tuc,10.2503,-73.3666
I  42,Gx,15.0,Cet,10.2753,-15.4333
213,Gx,15.0,Psc,10.3003,16.4666
I1572,,,Psc,10.3003,16.2666
216,Gx,13.3,Cet,10.3503,-21.0500
214,Gx,12.2,And,10.3753,25.5000
217,Gx,,Cet,10.3753,-10.0333
218,Gx,15.0,And,10.4503,36.3500
I  44,Gx,14.0,Cet,10.5503,0.8500
I1573,,,Cet,10.5503,-23.5333
219,Gx,15.0,Cet,10.5753,0.9000
230,Gx,15.0,Cet,10.6003,-23.6333
I  43,Gx,,And,10.6003,29.6333
227,Gx,13.0,Cet,10.6503,-1.5333
221,Gx,8.2,And,10.6753,40.8666
223,Gx,14.0,Cet,10.6753,0.8500
224,Gx,3.5,And,10.6753,41.2666
232,Gx,14.0,Cet,10.6753,-23.5666
I  45,,,And,10.6753,29.6666
226,Gx,14.0,And,10.7003,32.5666
228,Gx,15.0,And,10.7003,23.5000
235,Gx,14.0,Cet,10.7003,-23.5500
I  47,?,,Cet,10.7253,-13.7500
229,Gx,14.0,And,10.7503,23.4833
I  46,Gx,15.0,And,10.7503,27.2500
I1574,Gx,,Cet,10.7753,-22.2500
225,OC,7.0,Cas,10.8503,61.7833
233,Gx,14.0,And,10.8503,30.5833
234,Gx,13.0,Psc,10.8503,14.3333
238,Gx,,Phe,10.8503,-50.1833
241,-,,Tuc,10.8503,-73.4332
236,Gx,14.0,Psc,10.8753,2.9333
237,Gx,14.0,Cet,10.8753,-0.1167
242,OC,12.0,Tuc,10.9003,-73.4499
I  48,,,Cet,10.9003,-7.8833
I1575,,,Cet,10.9003,-4.1500
188,OC,8.1,Cep,11.0003,85.3332
I  49,Gx,,Cet,11.0003,1.8500
I1576,Gx,15.0,Scl,11.0503,-25.1000
I1578,Gx,14.0,Scl,11.1253,-25.0666
239,,,Cet,11.1503,-3.7833
I1577,,,Cet,11.1503,-8.1333
240,Gx,15.0,Psc,11.2753,6.1333
248,Nb,,Tuc,11.3503,-73.3832
249,Nb,,Tuc,11.3503,-73.0832
I1579,Gx,15.0,Scl,11.4003,-26.5666
244,Gx,13.3,Cet,11.4503,-15.6000
243,Gx,14.0,And,11.4753,29.9333
256,C+N,12.0,Tuc,11.4753,-73.4999
245,Gx,13.0,Cet,11.5253,-1.7333
I1581,,,Scl,11.5253,-25.9000
I  50,Gx,14.0,Cet,11.5503,-9.5000
I1580,,,And,11.5753,29.9166
I1582,Gx,15.0,Cet,11.5753,-24.3000
I  51,Gx,13.0,Cet,11.6003,-13.4333
261,Nb,,Tuc,11.6253,-73.1166
246,Pl,8.0,Cet,11.7503,-11.8833
247,Gx,8.9,Cet,11.7753,-20.7666
I1583,,,And,11.8003,23.0833
250,Gx,15.0,Psc,11.8253,7.9167
I1585,,,And,11.8253,23.0500
I1584,Gx,15.0,And,11.8503,27.8166
254,Gx,11.8,Scl,11.8753,-31.4166
253,Gx,7.1,Scl,11.9003,-25.2833
265,Gb,12.0,Tuc,11.9003,-73.4832
251,Gx,14.0,Psc,11.9503,19.5666
255,Gx,11.8,Cet,11.9503,-11.4666
I1586,Gx,,And,11.9753,22.3666
252,Gx,13.0,And,12.0003,27.6333
267,C+N,,Tuc,12.0003,-73.2832
257,Gx,14.0,Psc,12.0253,8.3167
259,Gx,,Cet,12.0253,-2.7833
258,Gx,15.0,And,12.0503,27.6333
264,Gx,,Scl,12.0753,-38.2333
I  52,Gx,15.0,Psc,12.1003,4.1000
269,Gb,12.0,Tuc,12.1253,-73.5332
260,Gx,14.0,And,12.1503,27.7000
262,Gx,15.0,And,12.2003,31.9500
I1587,Gx,15.0,Cet,12.2003,-23.5666
263,Gx,14.0,Cet,12.2253,-13.1000
266,Gx,13.0,Psc,12.4503,32.2666
268,Gx,13.0,Cet,12.5503,-5.2000
I  53,,,Psc,12.6253,10.6167
270,Gx,13.0,Cet,12.6753,-8.6500
271,Gx,13.0,Cet,12.7003,-1.8833
273,Gx,13.0,Cet,12.7003,-6.8833
I  54,D*,,Cet,12.7003,-2.2833
274,Gx,13.0,Cet,12.7503,-7.0500
I1588,,,Cet,12.7503,-23.5500
275,Gx,12.5,Cet,12.7753,-7.0666
290,OC,12.0,Tuc,12.8253,-73.1499
272,OC,,And,12.8503,35.8333
277,Gx,13.0,Cet,12.8753,-8.5833
I  56,Gx,,Cet,12.8753,-12.8500
I1589,,,Scl,12.8753,-34.4666
I  55,Gx,14.0,Psc,12.9253,7.7167
276,Gx,14.0,Cet,13.0253,-22.6833
278,Gx,10.9,Cas,13.0253,47.5499
294,Nb,,Tuc,13.0253,-73.3499
I1591,Gx,,Cet,13.0253,-22.6833
279,Gx,14.0,Cet,13.0753,-2.2000
280,Gx,14.0,And,13.1253,24.3333
289,Gx,12.0,Scl,13.1753,-31.1999
281,C+N,7.0,Cas,13.2003,56.6166
282,Gx,14.0,Psc,13.2003,30.6166
288,Gb,8.1,Scl,13.2003,-26.5833
292,Gx,,Tuc,13.2003,-72.8332
I1590,OC,,Cas,13.2753,56.5833
283,Gx,14.0,Cet,13.3253,-13.1833
I1592,Gx,15.0,Psc,13.3753,5.7667
I1597,Gx,,Tuc,13.3753,-58.1166
284,Gx,15.0,Cet,13.4003,-13.1500
286,Gx,14.0,Cet,13.4003,-13.1000
287,Gx,15.0,Psc,13.4003,32.4833
291,Gx,14.0,Cet,13.4003,-8.7500
285,Gx,,Cet,13.4253,-13.1666
I1594,Gx,,Phe,13.4253,-47.6499
I1595,Gx,,Phe,13.4503,-45.1833
299,C+N,11.0,Tuc,13.5003,-72.1666
293,Gx,14.0,Cet,13.5753,-7.2333
I1599,Gx,15.0,Cet,13.6253,-23.4833
I1593,,,Psc,13.6753,32.5000
I1596,Gx,15.0,Psc,13.6753,21.5166
I1598,Gx,15.0,Psc,13.6753,5.7667
303,Gx,,Cet,13.7003,-16.6666
I  57,Gx,16.0,Psc,13.7003,11.8333
300,Gx,9.0,Scl,13.7253,-37.6833
306,C+N,12.0,Tuc,13.7253,-72.2166
297,D*?,,Cet,13.7503,-7.3500
298,Gx,13.0,Cet,13.7503,-7.3500
I1600,Gx,15.0,Cet,13.7503,-23.5166
I  58,Gx,15.0,Cet,13.7753,-13.6833
295,Gx,13.0,Psc,13.8003,31.5166
296,Gx,15.0,Psc,13.8503,31.6666
I1601,,,Cet,13.9003,-24.1500
I1602,Gx,14.0,Cet,13.9753,-9.9833
305,Ast,,Psc,14.0003,12.1000
304,Gx,14.0,And,14.0253,24.1166
I  60,Gx,15.0,Cet,14.0253,-13.3833
330,OC,9.6,Tuc,14.0503,-72.4832
301,Gx,,Cet,14.0753,-10.6666
312,Gx,,Phe,14.0753,-52.7833
302,*,,Cet,14.1003,-10.6500
308,*,,Cet,14.1003,-1.7833
307,Gx,14.0,Cet,14.1503,-1.7667
309,Gx,11.8,Cet,14.1753,-9.9166
323,Gx,,Phe,14.1753,-52.9833
I  59,Nb,,Cas,14.1753,61.0666
310,*,,Cet,14.2253,-1.7667
314,Gx,,Scl,14.2253,-31.9666
319,Gx,,Phe,14.2503,-43.8333
328,Gx,,Phe,14.2503,-52.9166
I1603,Gx,,Phe,14.2503,-45.4166
I  61,Gx,15.0,Psc,14.2753,7.5167
322,Gx,,Phe,14.3003,-43.7333
321,Gx,,Cet,14.3503,-5.0333
311,Gx,14.0,Psc,14.4003,30.2666
317,Gx,15.0,And,14.4003,43.7833
I1605,Gx,,Phe,14.4003,-48.8999
339,Gb,11.9,Tuc,14.4253,-74.4832
313,Gx,12.0,Psc,14.4503,30.3500
315,Gx,13.0,Psc,14.4503,30.3500
316,Gx,12.0,Psc,14.4503,30.3500
325,Gx,16.0,Cet,14.4753,-5.1333
327,Gx,13.0,Cet,14.4753,-5.1333
329,Gx,13.0,Cet,14.5003,-5.0666
I1604,,,Cet,14.5003,-16.2500
318,Gx,15.0,Psc,14.5253,30.4166
326,Gx,13.2,Psc,14.6003,26.8666
I1606,,,Cet,14.6003,-12.1833
324,Gx,,Phe,14.6503,-40.4999
331,?,,Cet,14.6503,-2.7167
I  62,Gx,15.0,Psc,14.6753,11.8167
320,Gx,15.0,Cet,14.7003,-20.8333
332,Gx,15.0,Psc,14.7003,7.1000
333,Gx,16.0,Cet,14.7003,-16.4833
334,Gx,,Scl,14.7003,-35.1333
336,Gx,12.0,Cet,14.7003,-18.7666
I1607,Gx,14.0,Cet,14.7253,0.6000
346,C+N,10.3,Tuc,14.7753,-72.1832
335,Gx,,Cet,14.8253,-18.2333
I  64,Gx,16.0,Psc,14.8503,27.0500
I1608,Gx,,Scl,14.8503,-34.3333
I  63,Nb,,Cas,14.8753,60.8166
I1611,,,Tuc,14.9253,-72.3499
337,Gx,11.6,Cet,14.9503,-7.5833
I1609,Gx,,Phe,14.9503,-40.3333
I1612,,,Tuc,15.0003,-72.3832
I  67,,,Cet,15.0753,-6.9166
I  68,,,Cet,15.1003,-6.9500
I  66,Gx,15.0,Psc,15.1253,30.8000
338,Gx,14.0,Psc,15.1503,30.6500
340,Gx,14.0,Cet,15.1503,-6.8833
341,Gx,13.0,Cet,15.2003,-9.1833
342,Gx,14.0,Cet,15.2003,-6.7833
343,*,,Cet,15.2003,-23.2333
348,Gx,,Phe,15.2253,-53.2499
I  65,Gx,13.0,And,15.2253,47.6833
I  70,,,Cet,15.2753,0.0500
I  71,,,Cet,15.3253,-6.7833
345,Gx,13.0,Cet,15.3503,-6.9000
347,Gx,14.0,Cet,15.3503,-6.8166
I  69,Gx,15.0,Psc,15.3503,31.0500
I  72,,,Cet,15.3753,-6.7666
344,Gx,,Cet,15.4003,-23.2666
I1610,Gx,14.0,Cet,15.4253,-15.5666
349,Gx,13.0,Cet,15.4753,-6.8166
350,Gx,15.0,Cet,15.5003,-6.8166
351,Gx,14.0,Cet,15.5253,-1.9167
352,Gx,13.0,Cet,15.5253,-4.2500
361,Gb,11.8,Tuc,15.5503,-71.5499
353,Gx,14.0,Cet,15.6503,-1.9333
360,Gx,,Tuc,15.7253,-65.6166
355,Gx,15.0,Cet,15.8003,-6.3333
362,Gb,6.6,Tuc,15.8003,-70.8499
354,Gx,14.0,Psc,15.8253,22.3333
356,Gx,13.0,Cet,15.8253,-7.0000
371,OC,,Tuc,15.8253,-72.0832
357,Gx,11.8,Cet,15.8503,-6.3333
376,,,Tuc,15.9753,-72.8166
365,Gx,,Scl,16.0253,-35.1166
I1615,Gx,,Phe,16.0253,-51.1333
I1617,Gx,,Phe,16.0753,-51.0333
359,Gx,15.0,Cet,16.1003,-0.7500
368,Gx,,Phe,16.1003,-43.2666
364,Gx,14.0,Cet,16.1503,-0.8500
I1613,Gx,9.3,Cet,16.2003,2.1167
367,?,,Cet,16.2253,-12.1500
I  73,Gx,15.0,Psc,16.2253,4.7667
I1616,Gx,,Scl,16.2253,-27.4333
369,Gx,,Cet,16.2753,-17.7500
I1614,,,Psc,16.2753,33.2166
358,Ast,,Cas,16.3003,62.0333
395,,,Tuc,16.3253,-71.9999
I1624,,,Tuc,16.3253,-72.0332
I  74,Gx,15.0,Psc,16.4753,4.0833
I1618,Gx,16.0,Psc,16.5003,32.4166
363,Gx,15.0,Cet,16.5253,-16.5666
I1626,,,Tuc,16.5253,-73.2832
378,Gx,14.0,Scl,16.5503,-30.1833
377,***,,Cet,16.5753,-20.0500
366,OC,,Cas,16.6003,62.2333
